backend,page,memory_usage_psutil,memory_usage_tracemalloc,total_memory,processing_time
onnx,31,385.375,0.601,2161.516,9.04
onnx,32,385.469,0.381,2161.609,4.68
onnx,33,385.375,0.437,2161.516,5.74
onnx,34,385.375,0.506,2161.516,7.22
onnx,35,386.625,0.539,2162.766,7.81
onnx,36,386.656,0.528,2162.797,7.65
onnx,37,386.656,0.529,2162.797,7.65
onnx,38,386.656,0.491,2162.797,6.82
onnx,39,386.656,0.491,2162.797,6.73
onnx,40,386.656,0.47,2162.797,6.24
onnx,41,386.656,0.487,2162.797,6.64
onnx,42,386.75,0.201,2162.891,1.02
onnx,43,386.75,0.197,2162.891,1.13
onnx,44,386.75,0.198,2162.891,1.18
