backend,page,memory_usage,total_memory,processing_time
rapid,0,55.133,374.809,10.87
rapid,1,57.215,376.891,14.9
rapid,2,61.285,380.961,8.38
rapid,3,62.254,381.93,9.81
rapid,4,62.809,382.484,12.29
rapid,5,65.023,384.699,13.0
rapid,6,65.043,384.719,12.56
rapid,7,65.051,384.727,12.77
rapid,8,65.051,384.727,12.29
rapid,9,65.055,384.73,11.83
rapid,10,65.016,384.691,11.56
rapid,11,65.016,384.691,12.3
rapid,12,65.066,384.742,3.45
rapid,13,65.098,384.773,3.57
rapid,14,66.801,386.477,3.41
rapid,15,67.66,387.336,11.88
rapid,16,68.75,388.426,15.8
rapid,17,73.457,393.133,8.07
rapid,18,74.852,394.527,9.63
rapid,19,75.449,395.125,12.4
rapid,20,75.484,395.16,12.93
rapid,21,75.5,395.176,12.67
rapid,22,75.508,395.184,12.29
rapid,23,75.508,395.184,12.2
rapid,24,75.508,395.184,11.24
rapid,25,75.629,395.305,10.64
rapid,26,75.723,395.398,10.93
rapid,27,75.949,395.625,3.18
rapid,28,76.715,396.391,3.21
rapid,29,78.086,397.762,3.06
rapid,30,79.75,399.426,10.01
rapid,31,81.305,400.98,15.16
rapid,32,85.039,404.715,8.2
rapid,33,86.898,406.574,9.85
rapid,34,87.027,406.703,12.28
rapid,35,87.398,407.074,13.1
rapid,36,87.406,407.082,12.6
rapid,37,87.402,407.078,12.48
rapid,38,87.52,407.195,11.74
rapid,39,87.652,407.328,11.3
rapid,40,87.652,407.328,10.38
rapid,41,89.641,409.316,11.02
rapid,42,89.641,409.316,3.24
rapid,43,89.605,409.281,3.22
rapid,44,90.906,410.582,3.23
paddle,0,552.867,963.449,7.1
paddle,1,594.23,1004.812,4.77
paddle,2,613.477,1024.059,2.38
paddle,3,648.137,1058.719,2.98
paddle,4,679.348,1089.93,3.75
paddle,5,694.73,1105.312,3.98
paddle,6,703.992,1114.574,3.9
paddle,7,710.621,1121.203,3.86
paddle,8,718.809,1129.391,3.54
paddle,9,734.023,1144.605,3.5
paddle,10,746.656,1157.238,3.47
paddle,11,757.031,1167.613,3.53
paddle,12,761.289,1171.871,0.61
paddle,13,847.008,1257.59,0.72
paddle,14,857.559,1268.141,0.74
paddle,15,870.863,1281.445,3.1
paddle,16,883.949,1294.531,4.8
paddle,17,887.152,1297.734,2.41
paddle,18,891.68,1302.262,3.05
paddle,19,894.555,1305.137,3.76
paddle,20,900.262,1310.844,4.0
paddle,21,904.934,1315.516,3.95
paddle,22,909.445,1320.027,3.93
paddle,23,913.301,1323.883,3.58
paddle,24,923.5,1334.082,3.51
paddle,25,932.125,1342.707,3.48
paddle,26,941.879,1352.461,3.79
paddle,27,948.312,1358.895,0.58
paddle,28,956.223,1366.805,0.67
paddle,29,963.52,1374.102,0.77
paddle,30,975.43,1386.012,3.1
paddle,31,986.352,1396.934,4.89
paddle,32,989.555,1400.137,2.42
paddle,33,992.824,1403.406,3.1
paddle,34,996.918,1407.5,3.77
paddle,35,1000.043,1410.625,4.03
paddle,36,1006.543,1417.125,3.95
paddle,37,1008.914,1419.496,3.98
paddle,38,1012.859,1423.441,3.59
paddle,39,1024.555,1435.137,3.55
paddle,40,1031.48,1442.062,3.6
paddle,41,1039.875,1450.457,3.73
paddle,42,1043.145,1453.727,0.62
paddle,43,1053.285,1463.867,0.7
paddle,44,1062.809,1473.391,0.78
onnx,0,188.531,1661.922,5.34
onnx,1,308.996,1782.387,6.31
onnx,2,309.07,1782.461,3.31
onnx,3,309.07,1782.461,4.04
onnx,4,309.07,1782.461,5.03
onnx,5,309.141,1782.531,5.46
onnx,6,309.141,1782.531,5.3
onnx,7,309.141,1782.531,5.33
onnx,8,309.141,1782.531,4.75
onnx,9,309.141,1782.531,4.66
onnx,10,309.141,1782.531,4.38
onnx,11,309.141,1782.531,4.6
onnx,12,309.141,1782.531,0.83
onnx,13,309.141,1782.531,0.9
onnx,14,309.188,1782.578,0.94
onnx,15,311.766,1785.156,4.15
onnx,16,311.828,1785.219,6.27
onnx,17,311.836,1785.227,3.3
onnx,18,311.836,1785.227,4.05
onnx,19,311.836,1785.227,5.07
onnx,20,311.836,1785.227,5.48
onnx,21,311.836,1785.227,5.37
onnx,22,311.836,1785.227,5.5
onnx,23,311.836,1785.227,4.81
onnx,24,316.148,1789.539,4.77
onnx,25,316.148,1789.539,4.47
onnx,26,316.148,1789.539,4.68
onnx,27,316.148,1789.539,0.79
onnx,28,316.148,1789.539,0.91
onnx,29,316.156,1789.547,0.97
onnx,30,316.156,1789.547,4.13
onnx,31,316.156,1789.547,6.2
onnx,32,316.156,1789.547,3.31
onnx,33,316.156,1789.547,3.99
onnx,34,316.156,1789.547,5.01
onnx,35,316.156,1789.547,5.35
onnx,36,316.156,1789.547,5.34
onnx,37,316.156,1789.547,5.4
onnx,38,316.156,1789.547,4.83
onnx,39,316.156,1789.547,4.64
onnx,40,316.156,1789.547,4.32
onnx,41,316.156,1789.547,4.58
onnx,42,316.156,1789.547,0.81
onnx,43,316.156,1789.547,0.9
onnx,44,316.156,1789.547,0.97
